request method,input size,response code,duration
2,603,509,472
1,607,404,90
1,380,207,399
1,569,101,119
3,188,406,219
3,807,209,326
3,804,203,347
0,377,508,253
2,1042,103,293
3,133,403,233
0,566,501,257
1,407,205,364
2,515,202,269
1,702,508,208
2,1022,104,284
1,392,405,572
0,218,508,654
2,567,206,312
0,219,502,686
3,700,405,766
0,274,106,569
0,927,501,426
3,792,207,378
3,973,106,452
2,1042,101,230
3,531,100,381
0,842,104,863
3,564,307,449
2,630,507,905
3,586,303,440
3,633,400,270
3,756,507,763
3,621,407,878
0,400,503,242
1,557,107,92
3,19,402,641
2,547,506,869
3,307,305,752
1,563,106,250
2,560,506,919
3,258,304,1068
1,596,103,271
2,613,508,447
2,1018,108,297
0,972,506,477
0,90,106,578
1,379,106,692
3,215,300,1024
3,768,206,419
2,505,202,253
2,553,505,869
3,184,408,169
0,918,500,403
0,189,100,489
1,568,104,248
3,180,404,177
3,310,302,1044
1,605,408,135
0,32,100,625
3,621,400,281
1,612,108,112
0,215,505,664
0,446,508,254
1,649,100,271
3,554,403,807
0,181,104,470
3,791,500,774
1,256,107,841
2,532,203,297
2,1015,104,292
2,601,501,871
2,593,509,474
3,630,304,472
0,17,100,620
3,802,209,380
0,376,509,308
1,600,106,250
0,78,102,588
3,574,309,459
0,197,102,565
3,365,307,688
0,81,109,560
1,563,104,239
3,494,105,365
2,537,508,528
3,120,400,215
3,776,207,399
3,76,408,724
3,750,202,422
3,168,408,191
2,753,100,458
0,608,500,175
3,743,203,355
0,421,501,294
3,282,300,1060
3,904,107,449
1,448,102,674
1,616,103,329
0,8,100,596
1,548,401,85
3,570,403,821
1,911,406,730
0,891,108,867
3,774,508,822
1,342,205,348
3,299,306,718
2,1022,104,236
3,718,400,730
1,599,100,63
2,526,208,292
0,1094,205,312
1,602,406,76
3,145,407,155
1,583,106,92
2,1035,101,238
2,996,106,297
2,740,103,476
1,249,109,776
3,634,407,239
1,368,207,335
3,804,508,819
0,225,100,491
1,592,104,112
3,558,303,452
1,710,503,295
1,414,101,676
3,750,502,788
3,602,403,842
1,634,102,308
1,593,102,267
0,1069,207,327
3,653,406,296
3,59,407,671
0,247,508,671
3,662,404,244
3,659,408,247
1,416,401,561
1,202,100,785
1,526,401,72
2,539,205,246
3,728,203,420
3,590,105,434
1,623,102,284
2,616,504,844
2,797,105,452
1,768,502,254
0,44,105,620
3,152,403,199
3,161,400,221
3,684,400,291
1,932,405,709
3,758,207,338
1,366,404,512
0,247,106,500
3,738,507,803
1,892,401,718
0,1087,205,330
2,544,507,513
3,633,405,268
0,68,106,556
1,867,403,739
3,510,105,437
3,802,506,759
1,364,207,356
2,548,204,265
1,373,107,736
2,551,505,851
3,588,402,862
3,693,404,774
2,526,506,528
3,361,309,749
0,227,100,561
3,534,105,358
1,775,505,241
0,57,107,562
2,788,105,516
0,1069,201,371
3,312,303,769
1,575,105,289
3,668,407,270
3,62,400,662
3,698,407,236
3,539,304,405
0,99,101,609
3,129,404,196
3,668,408,306
1,605,102,272
3,729,404,772
0,95,102,600
3,565,302,471
0,897,100,923
0,199,107,566
3,826,502,800
1,394,402,575
1,386,109,735
1,364,409,510
0,999,506,400
3,207,408,234
0,52,103,578
3,183,405,216
1,603,401,70
2,576,209,257
0,355,504,275
3,736,207,401
0,1034,204,305
0,914,106,880
0,1106,209,319
3,76,402,716
2,775,105,522
0,879,106,878
0,399,505,244
1,935,409,671
1,707,507,274
1,390,408,516
0,875,105,849
3,622,409,830
0,277,102,475
1,767,501,307
3,281,301,687
1,318,407,537
3,321,307,726
1,911,403,716
1,404,206,398
0,892,105,882
1,880,402,674
3,255,304,1048
2,611,506,518
0,359,503,280
3,300,307,623
1,402,102,686
2,556,504,826
1,213,100,861
1,559,406,43
0,842,105,893
0,1060,206,360
0,382,507,314
0,240,508,659
1,657,106,275
1,402,204,378
2,1009,109,315
0,223,101,530
1,584,104,323
3,583,105,388
1,607,104,67
2,623,500,826
3,554,301,438
3,307,303,727
3,934,109,429
3,81,408,700
2,606,503,853
0,422,508,266
1,636,100,88
2,1051,101,303
2,1007,103,251
0,1002,500,432
1,640,108,97
0,958,507,482
0,555,506,270
1,193,105,817
0,841,102,916
1,545,409,62
3,150,401,186
0,1024,203,315
1,353,403,573
0,916,104,884
3,560,102,403
0,265,104,552
3,935,101,489
1,949,405,750
1,212,106,801
0,576,501,240
2,744,104,445
1,871,401,746
1,572,404,111
1,396,206,376
2,760,103,483
