Population,Distance,AgricA,Asphalt,Churches,Schools,Tractors,MAge,Water,Cows
1108,37,4180.6551,9,8.004991,32.983624,17.561117,30.556279,59.82176,57
476,37,6100.7177,18,8.4457053,32.52744,19.271545,31.767137,52.173288,68
1503,37,5515.2608,21,8.8993589,29.225275,19.011052,30.780221,61.794102,109
1631,37,8027.0371,16,8.3843467,31.607752,20.757118,27.595306,63.733993,175
702,35,7456.2601,12,8.0287839,35.047849,20.921164,32.268697,51.055268,74
2445,36,4398.2193,31,7.9770592,27.742161,18.327647,27.225684,66.786368,165
2443,29,8511.5565,13,8.2901048,21.427677,22.651738,32.665214,55.43261,391
1381,36,6038.0157,14,6.6291591,45.69766,19.713679,31.489692,59.0892,113
1663,34,6184.9494,16,7.6517604,39.05434,20.285682,28.679847,58.195182,115
1541,35,5581.6303,15,8.1566162,37.779514,19.41245,30.448164,60.035503,129
1274,33,7585.6355,17,8.3813394,28.450505,21.325797,30.72726,54.458771,116
2003,33,6313.2001,16,8.7621754,28.749927,20.602622,26.581433,58.950761,185
1010,37,6285.5053,11,8.5051094,28.155888,19.410263,33.485053,58.740186,85
3543,39,10291.191,26,15.590818,14.252943,21.791908,33.721166,78.186473,761
1310,39,5980.3055,25,9.8896691,30.833214,18.497473,28.898684,64.961423,80
1494,34,7785.9046,15,6.5769247,39.36383,21.210293,28.203022,58.286803,145
2322,32,7189.0966,13,8.388257,27.865431,21.285363,31.243689,60.340225,284
1453,37,4347.1999,12,9.2901615,28.719334,17.860495,27.572615,62.100138,71
1339,40,7385.2586,18,8.1394455,46.186687,19.58709,29.544919,65.546298,131
867,26,7597.37,14,8.5709544,35.41661,22.483921,32.480243,38.047443,54
1636,37,8319.5189,21,9.2858904,29.761819,20.962384,28.081853,63.745887,186
612,39,2249.4329,15,6.6618701,42.250464,15.006872,32.290064,56.603416,76
1993,34,6564.8722,17,6.4669203,30.751195,20.50527,26.406205,60.967072,183
2897,35,6582.1653,22,9.9006307,18.249064,20.13409,28.558846,69.158502,354
948,37,3600.4244,23,8.0072255,36.072484,17.032874,32.282592,58.094793,72
2124,34,5313.0348,16,7.8129724,22.950993,19.534224,33.207555,62.087383,160
2508,31,10288.472,18,7.8339276,29.766249,23.232091,29.926845,60.295561,463
504,36,5364.8961,13,7.2513449,38.811094,19.015771,33.436883,50.573729,57
566,36,8333.7281,16,10.562957,29.910708,21.120616,30.006603,52.159999,95
1867,36,6981.478,16,6.91303,37.387559,20.204066,33.945946,64.202968,203
1130,35,6383.9939,11,7.2860043,30.197403,20.0232,32.21621,56.569048,91
1971,29,8801.3532,15,10.967942,24.41299,22.81853,27.041103,52.267926,306
2085,31,3671.9422,11,11.28546,24.185343,18.974955,33.736028,56.543896,138
1991,33,3922.1799,17,10.6951,21.40884,18.543128,31.573281,60.210285,127
2545,33,6296.914,17,7.120714,30.250622,20.450642,29.124421,63.48769,286
1952,31,10816.05,15,9.2723475,19.655703,23.539907,29.224845,56.287469,392
2445,36,5147.3622,22,6.6419313,28.672381,18.792074,27.520343,67.781512,200
675,37,6559.8455,18,6.7294899,41.074662,19.747694,31.812477,54.28088,76
1394,28,8249.9714,13,7.011201,33.86304,22.587543,30.253463,46.846139,138
1295,36,5576.4032,17,8.8890563,34.720569,19.210213,34.06115,59.210206,102
499,34,2125.2677,12,6.5384203,49.678294,16.540628,33.930214,47.6625,62
1606,31,4435.0612,23,9.449136,23.645667,19.475656,29.690633,53.947657,90
747,36,5369.4539,9,9.8098398,30.959364,19.08604,31.119652,53.448167,71
2674,35,7602.6976,19,10.919803,19.358745,20.941997,29.486512,67.321297,399
882,28,7115.897,10,7.2555179,35.558747,21.872995,32.945357,42.400485,70
1831,38,6072.9919,25,7.8129891,31.341375,18.9545,26.931842,67.066532,144
1576,35,5500.7703,22,7.8641632,27.517435,19.327395,28.756509,60.435241,131
818,30,9337.4558,13,7.3244259,33.904896,22.941734,30.399059,44.228723,87
312,33,6818.9505,11,8.9087818,28.107842,20.906984,32.329408,41.372471,44
1365,35,6691.9344,14,8.723089,27.695654,20.300365,28.623833,58.32013,119
771,31,5092.1632,7,6.9611876,32.318173,20.052365,31.334851,45.464415,30
1905,33,9211.1609,19,9.5216312,31.408741,22.294997,33.663159,59.727213,260
3213,24,9310.2872,18,7.8634092,30.116142,23.61749,34.080077,43.09715,185
2973,33,4625.7511,19,8.977111,27.472835,19.123419,26.048599,66.281176,245
1884,31,5221.1166,17,10.008541,30.826803,20.210275,32.137726,54.945843,124
977,34,4646.8778,14,10.553078,23.319741,19.125188,31.394431,52.02432,84
1706,37,3838.7758,15,10.428094,28.119812,17.410104,31.018343,63.922371,88
771,38,5024.8064,19,7.0054473,31.904466,18.281231,30.917847,56.583553,76
1394,33,7663.0175,13,5.9982314,35.690084,21.394868,31.927017,55.335877,147
1373,39,4513.0988,18,8.563428,32.995107,17.354998,32.342203,64.575296,91
1409,37,4420.379,15,8.7288282,21.852255,17.941013,29.952112,61.671895,89
1184,36,7641.2421,8,7.620263,39.119306,20.788371,32.091543,58.021071,118
2350,36,5479.9726,16,8.282464,32.176812,19.02203,26.565003,67.465043,185
401,32,4638.282,6,7.6964562,40.305631,19.568231,31.504919,41.13841,29
1746,38,7482.4472,25,7.3969223,28.873704,20.020021,30.454885,66.710512,172
2159,31,8866.6328,20,9.4680466,27.391918,22.587351,28.67086,56.626496,307
2008,38,7291.5776,10,9.1562643,27.136253,19.960135,30.202309,68.057748,241
1873,36,5148.7995,22,8.8322055,27.552084,18.908272,29.990535,63.40296,131
1439,35,6505.8576,16,7.7631854,27.247747,20.297126,31.3093,58.015925,135
1960,35,7574.3577,18,10.282384,25.476984,20.891667,28.530943,63.043953,237
1865,39,3666.0399,15,8.4303844,30.851206,16.283413,30.828558,69.214061,84
1226,30,4870.6083,14,8.3688719,27.828992,20.104933,31.480634,48.362728,92
1144,35,4851.1376,19,7.9666213,36.457472,18.882517,30.687464,56.253594,86
1199,32,4977.7477,15,8.3500993,27.381478,19.797194,31.544355,51.269865,75
552,33,5835.1752,13,7.8988186,35.122327,20.126816,31.631865,46.326091,70
1241,36,8051.0982,9,8.2112519,31.036223,21.049172,30.486916,58.667594,142
1498,36,3722.6197,13,8.2713713,30.936265,17.436376,34.136611,61.661672,85
1652,33,7906.8772,23,11.089634,22.08286,21.53826,28.263106,57.512076,197
2704,36,5404.9253,25,9.2264816,26.345526,19.115934,27.199512,68.692853,228
1162,32,6533.1134,19,6.2490851,38.561652,20.87787,30.474204,51.295778,102
1912,33,8774.0825,14,9.4415889,31.474184,22.21324,30.987113,58.159059,279
2070,38,5295.5649,16,8.2501547,31.521718,18.317487,30.642518,68.557601,152
2202,40,5847.5152,20,10.837251,26.261535,18.244485,33.182865,72.090495,160
780,32,7230.0122,1,7.7738211,28.379336,21.331161,30.320815,47.415865,61
1570,35,7139.7092,22,6.1811732,21.926763,20.652992,33.578982,59.7538,177
1591,33,3633.9795,23,9.193278,26.334592,18.360278,32.671384,56.874098,86
772,35,7610.6283,7,7.6219943,33.319177,20.9019,33.681813,52.835015,72
919,36,6304.8017,15,7.764081,28.608377,19.744558,31.663741,55.884985,99
2337,38,7280.1105,16,8.4976655,23.462267,20.038505,29.221451,69.674262,271
1313,36,3482.5176,14,7.7557197,25.599505,17.200633,28.228354,60.159199,80
1714,35,8019.5395,20,9.1299448,28.953625,21.341115,29.545379,60.155419,196
1475,31,7910.7706,14,8.9796601,29.868036,22.011151,30.393909,51.766367,126
982,29,6528.3395,21,7.5164715,24.921568,21.374677,31.696356,44.854505,87
1028,37,4932.901,18,7.1914663,33.514902,18.351206,31.324567,58.520827,80
1759,36,6137.755,12,9.6800217,20.359834,19.720968,32.079926,62.467384,179
803,38,4975.7021,14,7.8179213,28.035235,17.919819,32.322102,58.528861,53
2053,32,7938.0138,19,6.5131693,32.240037,21.716301,27.983498,59.014706,258
1865,35,5570.3289,18,9.7331055,26.051651,19.369584,31.438805,62.653631,130
873,30,9065.456,17,8.0951211,37.666604,22.711965,33.954907,45.779646,97
1219,33,8559.1623,19,8.504478,28.411784,21.976437,31.442684,53.658189,150
682,33,8737.1378,17,9.5516953,27.333979,22.040511,32.896756,48.343179,105
303,35,8612.2293,8,7.2709899,38.066683,21.619967,34.149976,45.095102,52
2245,38,7416.2913,19,9.2487904,26.167767,20.082677,29.855514,69.431435,245
1054,29,7675.3539,12,9.3069259,25.049598,22.162351,30.183009,44.790933,101
1663,33,4390.8563,20,8.8542481,27.742941,18.924402,27.578942,57.947435,106
1588,29,3302.1719,14,6.9397385,36.467893,19.015828,32.440095,50.269287,90
1424,37,8746.2455,14,7.9545001,27.114646,21.379989,34.194487,61.152947,209
774,32,6671.5783,12,7.4443939,35.470925,20.940505,31.43198,47.499583,50
804,33,3871.9764,19,6.9069878,40.933226,18.670277,32.108988,48.874507,62
1146,36,5060.4872,27,6.5202718,35.20953,18.891292,31.464099,57.257572,88
683,27,8033.1739,11,7.7779233,42.12732,22.625281,31.887395,37.296914,34
747,38,7013.1104,13,8.1612221,37.80134,19.872999,29.727374,56.51229,63
2735,31,7079.6791,23,8.5268563,22.208065,21.462286,28.268312,60.623317,348
